case_id,initial_time,lead_time_hours,valid_start_time,valid_end_time,region_id,variable,aggregation,forecast_value,observed_value,unit,event_threshold,observation_source,observation_id,coverage_fraction,station_count,qc_status
20200619_00,2020-06-19T00:00:00Z,24,2020-06-19T00:00:00Z,2020-06-20T00:00:00Z,SA-04,tmin_c,station_min,27.278900146484375,28.0,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-06-19_SA-04_tmin_c_station_min,0.8,4,accepted
20200619_00,2020-06-19T00:00:00Z,48,2020-06-20T00:00:00Z,2020-06-21T00:00:00Z,SA-04,tmax_c,station_mean,39.66266632080078,42.275,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-06-20_SA-04_tmax_c_station_mean,0.8,4,accepted
20200619_00,2020-06-19T00:00:00Z,48,2020-06-20T00:00:00Z,2020-06-21T00:00:00Z,SA-04,tmax_c,station_max,42.04400634765625,43.1,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-06-20_SA-04_tmax_c_station_max,0.8,4,accepted
20200619_00,2020-06-19T00:00:00Z,48,2020-06-20T00:00:00Z,2020-06-21T00:00:00Z,SA-04,tmax_c,station_min,34.9422607421875,41.0,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-06-20_SA-04_tmax_c_station_min,0.8,4,accepted
20200619_00,2020-06-19T00:00:00Z,48,2020-06-20T00:00:00Z,2020-06-21T00:00:00Z,SA-04,tmin_c,station_mean,29.32646942138672,27.75,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-06-20_SA-04_tmin_c_station_mean,0.8,4,accepted
20200619_00,2020-06-19T00:00:00Z,48,2020-06-20T00:00:00Z,2020-06-21T00:00:00Z,SA-04,tmin_c,station_max,30.85797119140625,28.0,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-06-20_SA-04_tmin_c_station_max,0.8,4,accepted
20200619_00,2020-06-19T00:00:00Z,48,2020-06-20T00:00:00Z,2020-06-21T00:00:00Z,SA-04,tmin_c,station_min,28.040740966796875,27.0,degC,36.33952,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-06-20_SA-04_tmin_c_station_min,0.8,4,accepted
20200619_00,2020-06-19T00:00:00Z,72,2020-06-21T00:00:00Z,2020-06-22T00:00:00Z,SA-04,tmax_c,station_mean,38.99701690673828,40.75,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-06-21_SA-04_tmax_c_station_mean,0.8,4,accepted
20200619_00,2020-06-19T00:00:00Z,72,2020-06-21T00:00:00Z,2020-06-22T00:00:00Z,SA-04,tmax_c,station_max,41.90130615234375,43.0,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-06-21_SA-04_tmax_c_station_max,0.8,4,accepted
20200619_00,2020-06-19T00:00:00Z,72,2020-06-21T00:00:00Z,2020-06-22T00:00:00Z,SA-04,tmax_c,station_min,34.746063232421875,39.0,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-06-21_SA-04_tmax_c_station_min,0.8,4,accepted
